,date,day,shift,coursecode,roomno,rollno,coursename
281,26-04-2025,Saturday,Morning,EE309,106,2201EE36,
282,26-04-2025,Saturday,Morning,MA1201,107,2401CE42,Probability Theory and Ordinary Differential Equations
283,26-04-2025,Saturday,Morning,MA1201,107,2401CE43,Probability Theory and Ordinary Differential Equations
284,26-04-2025,Saturday,Morning,MA1201,107,2401CE44,Probability Theory and Ordinary Differential Equations
285,26-04-2025,Saturday,Morning,MA1201,107,2401CE45,Probability Theory and Ordinary Differential Equations
286,26-04-2025,Saturday,Morning,MA1201,107,2401CE46,Probability Theory and Ordinary Differential Equations
287,26-04-2025,Saturday,Morning,MA1201,107,2401CE47,Probability Theory and Ordinary Differential Equations
288,26-04-2025,Saturday,Morning,MA1201,107,2401CE48,Probability Theory and Ordinary Differential Equations
289,26-04-2025,Saturday,Morning,MA1201,107,2401CE49,Probability Theory and Ordinary Differential Equations
290,26-04-2025,Saturday,Morning,MA1201,107,2401CE50,Probability Theory and Ordinary Differential Equations
291,26-04-2025,Saturday,Morning,MA1201,107,2401CE51,Probability Theory and Ordinary Differential Equations
292,26-04-2025,Saturday,Morning,MA1201,107,2401CE52,Probability Theory and Ordinary Differential Equations
293,26-04-2025,Saturday,Morning,MA1201,107,2401CE53,Probability Theory and Ordinary Differential Equations
294,26-04-2025,Saturday,Morning,MA1201,107,2401CE54,Probability Theory and Ordinary Differential Equations
295,26-04-2025,Saturday,Morning,MA1201,107,2401CE55,Probability Theory and Ordinary Differential Equations
296,26-04-2025,Saturday,Morning,MA1201,107,2401CE56,Probability Theory and Ordinary Differential Equations
297,26-04-2025,Saturday,Morning,MA1201,107,2401CE57,Probability Theory and Ordinary Differential Equations
298,26-04-2025,Saturday,Morning,MA1201,107,2401CE58,Probability Theory and Ordinary Differential Equations
299,26-04-2025,Saturday,Morning,MA1201,107,2401CE59,Probability Theory and Ordinary Differential Equations
300,26-04-2025,Saturday,Morning,MA1201,107,2401CE60,Probability Theory and Ordinary Differential Equations
